title,star,comments
穿著Prada的惡魔2,5.0,我覺得非常好看，演員演技出色，劇情也非常棒。
穿著Prada的惡魔2,5.0,"比起米蘭達的氣場，
小安的理想感，
我更喜歡艾蜜莉.布朗的「高級時尚假掰」"
穿著Prada的惡魔2,5.0,第二集一樣很好看
穿著Prada的惡魔2,5.0,就像見老朋友的感覺，滿滿的回憶，內容很豐富更多了深度，非常好看的續集。
穿著Prada的惡魔2,4.0,"第二集有蠻多第一集的經典元素啦…
沒有不好看也沒有很好看
就沒有超越第一集，有一part會讓我想到「艾蜜莉在巴黎」😹"
穿著Prada的惡魔2,4.5,不失望的續集❤️✨
穿著Prada的惡魔2,4.0,"不錯
米蘭達 安 艾蜜莉 角色們都沒變
對話表情笑點不少"
穿著Prada的惡魔2,4.5,我覺得很好看，但是女主角真的很幸運，因為一般人遇到職場困難時，通常努力不一定會有回報，而且在職場中很重要的一點，我們可能覺得老闆很好，公司遇到難題，想幫忙，可是老闆可能和我們想的不一樣，我們的熱心幫忙可能換得的是老闆的刁難，這是我的經驗啦！整體很好看
穿著Prada的惡魔2,0.5,說實在的，不好看也沒什麼笑點，約1/3坐滿，現場觀眾反應很安靜。沒什麼劇情，還是維持第一集就好了。感覺過了這麼多年，女主角還是聽梅姨的吩咐照做，沒有變的強大，有些失望的續集
穿著Prada的惡魔2,5.0,👍
穿著Prada的惡魔2,5.0,很好看而且整部片內容讓人會想要回去重新看第一集，值得看
穿著Prada的惡魔2,5.0,"非常好看。
哪有辱華和種族歧視呢？
到底是多麼自卑的人，才有這種想法。"
穿著Prada的惡魔2,4.0,雖然沒有特別驚艷，但原班人馬的演出還是給人回憶滿滿
穿著Prada的惡魔2,3.5,搶頭香首映看完有點失望，趁5/1連假二刷後覺得還不錯，值得仔細反覆推敲及探究背後真實意義，忠實反映全球當前職場環境與時代趨勢。
穿著Prada的惡魔2,4.5,超級好看！！！！推！！！！
